"UNIQUEID","StreetAddress","City","State","Zip"
"951","101 N Harbor Blvd, Ste 100","Fullerton","CA","92832"
"952","512 S Brookhurst St, Ste 7","Anaheim","CA","92804"
"953","1801 S Main St, Ste A","Santa Ana","CA","92707"
"954","2175 W La Palma Ave","Anaheim","CA","92801"
"955","984 S Beach Blvd","Anaheim","CA","92804"
"956","1201 E Orangethorpe Ave","Fullerton","CA","92831"
"957","8032 Garden Grove Blvd","Garden Grove","CA","92844"
"958","17472 Beach Blvd","Huntington Beach","CA","92647"
"959","6972 Warner Ave","Huntington Beach","CA","92647"
"960","8031 Warner Ave","Huntington Beach","CA","92647"
"961","18501 Beach Blvd","Huntington Beach","CA","92648"
"962","101 E Lambert Rd","La Habra","CA","90631"
"963","110 S Harbor Blvd","La Habra","CA","90631"
"964","1150 W La Habra Blvd","La Habra","CA","90631"
"965","23991 El Toro Rd","Laguna Hills","CA","92653"
"966","4505 W First St","Santa Ana","CA","92703"
"967","801 N Bristol St","Santa Ana","CA","92703"
"968","10502 S Magnolia Ave","Stanton","CA","90680"
"969","10961 Beach Blvd","Stanton","CA","90680"
"970","15501 Beach Blvd","Westminster","CA","92683"
"971","17499 Yorba Linda Blvd","Yorba Linda","CA","92686"
"972","18121 Imperial Hwy","Yorba Linda","CA","92886"
"973","1740 Newport Blvd","Costa Mesa","CA","92627"
"974","195 E 17th St","Costa Mesa","CA","92627"
"975","1313 S Harbor Blvd","Anaheim","CA","92802"
"976","8501 Knott Ave","Buena Park","CA","90620"
"977","9920 Garden Grove Blvd","Garden Grove","CA","92844"
"978","298 E 17th St","Costa Mesa","CA","92627"
"979","16487 Springdale Ave","Huntington Beach","CA","92649"
"980","21010 Pacific Coast Hwy, Ste B110","Huntington Beach","CA","92648"
"981","448 S Coast Hwy, Ste A","Laguna Beach","CA","92651"
"982","24 Monarch Bay Plz","Dana Point","CA","92629"
"983","4143 Campus Dr, Ste C196","Irvine","CA","92612"
"984","12563 Harbor Blvd","Garden Grove","CA","92840"
"985","1687 E Orangethorpe Ave","Placentia","CA","92870"
"986","1313 S Harbor Blvd","Anaheim","CA","92802"
"987","3161 Michelson Dr, 11th Floor","Irvine","CA","92612"
"988","1525 N Placentia Ave","Placentia","CA","92870"
"989","1526 S Flower St","Santa Ana","CA","92707"
"990","9525 Bolsa Ave","Garden Grove","CA","92683"
"991","4141 MacArthur Blvd","Newport Beach","CA","92660"
"992","1928 Harbor Blvd","Costa Mesa","CA","92627"
"993","3333 Bristol St, Ste 2814","Costa Mesa","CA","92626"
"994","32411 Golden Lantern, Ste S","Laguna Niguel","CA","92677"
"995","31431 Santa Margarita Pkwy, Ste J","Rancho Santa Margarita","CA","92688"
"996","800 Avenida Pico, Ste V","San Clemente","CA","92672"
"997","8915 Atlanta Ave, Ste A","Huntington Beach","CA","92646"
"998","7862 Warner Ave, Ste D","Huntington Beach","CA","92647"
"999","28251 Crown Valley Pkwy, Ste D","Laguna Niguel","CA","92677"
"1000","27775 Santa Margarita Pkwy, Ste A","Mission Viejo","CA","92691"
