"UNIQUEID","StreetAddress","City","State","Zip"
"145","5281 California Ave","Irvine","CA","92617"
"146","5791 Lincoln Ave","Buena Park","CA","90620"
"147","7942 Edinger Ave","Huntington Beach","CA","92647"
"148","76 Corporate Pkwy","Irvine","CA","92606"
"149","26801 Portola Pkwy","Lake Forest","CA","92610"
"150","13982 Newport Ave","Tustin","CA","92780"
"151","1646 W Katella Ave","Anaheim","CA","92802"
"152","23862 Bridger Rd","Lake Forest","CA","92630"
"153","2525 E Imperial Hwy","Brea","CA","92821"
"154","12932 N Newport Ave, Ste 19","Tustin","CA","92780"
"155","4900 Ball Rd","Cypress","CA","90630"
"156","17520 Brookhurst St","Fountain Valley","CA","92708"
"157","23921 Alicia Pkwy","Mission Viejo","CA","92691"
"158","3003 Newport Blvd","Costa Mesa","CA","92626"
"159","530 N Brookhurst St","Anaheim","CA","92801"
"160","301 S Anaheim Blvd","Anaheim","CA","92805"
"161","2021 Newport Blvd","Costa Mesa","CA","92626"
"162","3588 Bryan Ave","Irvine","CA","92602"
"163","9281 Denni St","Cypress","CA","90630"
"164","26772 Avery Pkwy","Mission Viejo","CA","92692"
"165","9041 Trask Ave, Ste A","Garden Grove","CA","92844"
"166","3100 Airway Ave, Ste 113","Costa Mesa","CA","92626"
"167","2626 E Katellla Ave","Anaheim","CA","92806"
"168","1003 Brea Mall","Brea","CA","92821"
"169","1043 Newport Center Dr","Newport Beach","CA","92660"
"170","2307 W Balboa Blvd","Newport Beach","CA","92663"
"171","1001 S Main St","Santa Ana","CA","92701"
"172","16500 Scientific Way","Irvine","CA","92618"
"173","1305 S Coast Hwy","Laguna Beach","CA","92651"
"174","6060 Scholarship","Irvine","CA","92612"
"175","1313 S Harbor Blvd","Anaheim","CA","92802"
"176","325 Bristol St","Costa Mesa","CA","92626"
"177","200 N City Dr","Orange","CA","92868"
"178","28951 Los Alisos","Mission Viejo","CA","92692"
"179","2550 E Katella Ave","Anaheim","CA","92806"
"180","24341 El Toro Rd","Laguna Woods","CA","92637"
"181","28941 Los Alisos Blvd","Mission Viejo","CA","92692"
"182","22677 Oakcrest Cir","Yorba Linda","CA","92887"
"183","16400 Brookhurst St","Fountain Valley","CA","92708"
"184","1440 S Anaheim Blvd, Ste G2","Anaheim","CA","92805"
"185","2059 S Main St","Santa Ana","CA","92707"
"186","12911 Main St","Garden Grove","CA","92840"
"187","3100 E Coast Hwy, Ste A","Corona Del Mar","CA","92625"
"188","211 E Chapman Ave","Orange","CA","92866"
"189","10252 Westminster","Garden Grove","CA","92843"
"190","116 W Wilshire","Fullerton","CA","92832"
"191","21771 Lake Forest Dr, Ste 100","Lake Forest","CA","92630"
"192","745 S Main St, Ste 170","Orange","CA","92868"
"193","30231 Golden Lantern, Ste F","Laguna Niguel","CA","92677"
